1,Sheriff,NULL,Town Investigative,"The law enforcer of the Town; forced into hiding from threat of murder.","You will know if your target is a member of the Mafia. You will know if your target is a member of the Coven. You will know if your target is a Serial Killer. You will know if your target is a Werewolf on a Full Moon.",Interrogate one person each night for suspicious activity.,NULL,0,0
2,Investigator,Inv/Invest,Town Investigative,A private eye who secretly gathers information.,None.,Investigate one person each night for a clue to their role.,NULL,0,0
3,Spy,NULL,Town Investigative,A talented watcher who keeps track of evil in the Town. You will know who the Mafia and Coven visit at night. You may bug a player's house to see what happens to them that night.,NULL,0,0
4,Lookout,LO,Town Investigative,"An eagle-eyed observer; stealthily camping outside houses to gain information.",None.,Watch one person at night to see who visits them.,NULL,0,0
5,Tracker,NULL,Town Investigative,You are a skilled tracker who will follow their prey to any destination.,None.,Track one person at night to see who they visit.,NULL,0,1
6,Psychic,Psy,Town Investigative,A powerful seer with a gift for finding one's secrets.,"On odd nights you will have a vision of three players; at least one will be Evil. On even nights you will have a vision of two players; at least one will be Good.",Receive a vision every night.,NULL,0,1
7,Jailor,NULL,Town Killing,A prison guard who secretly detains suspects.,"You may anonymously talk with your prisoner. You can choose to attack your prisoner. The jailed target can't perform their night ability. While jailed the prisoner is given Powerful defense.",You may choose one person during the day to jail for the night.,NULL,1,0
8,Vampire Hunter,VH,Town Killing,"A priest turned monster hunter; this person slays Vampires.","If you find a Vampire you will attack them. If a Vampire visits you, you will attack them. You can hear Vampires at night. If all the Vampires die you will become a Vigilante.",Check for Vampires each night.,NULL,0,0
9,Veteran,Vet,Town Killing,A paranoid war hero who will shoot anyone who visits him.,"While on alert you gain Basic defense. While on alert you will attack anyone who visits you. You can only go on alert 3 times. You cannot be role blocked.",Decide if you will go on alert.,NULL,1,0
10,Vigilante,Vig,Town Killing,A militant officer willing to bend the law to enact justice.,"If you shoot another Town member you will commit suicide over the guilt. You can only shoot your gun 3 times.",Choose to take justice into your own hands and shoot someone.,NULL,0,0
11,Bodyguard,BG,Town Protective,An ex-soldier who secretly makes a living by selling protection.,"If your target is attacked or is the victim of a harmful visit; you and the visitor will fight. If you successfully protect someone you can still be Healed.",Protect a player from direct attacks at night.,NULL,0,0
